[2016-12-14 09:50:32,993]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Open] -- Open Success.....
[2016-12-14 09:50:33,173]  12 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据：00 00 00 2F 01 D0 01 00 00 01 00 00
[2016-12-14 09:50:33,173]  12 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据Byte：System.Byte[]
[2016-12-14 09:50:33,214]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Send] -- 发送 命令：0000012F01C0012694FF0000
[2016-12-14 09:50:33,214]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Send] -- 发送 命令Byte：System.Byte[]
[2016-12-14 09:50:33,460]  14 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据：00 00 00 2F 01 D0 01 26 94 01 00 00
[2016-12-14 09:50:33,460]  14 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据Byte：System.Byte[]
[2016-12-14 09:50:33,485]  16 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据：00 00 00 2F 01 B0 01 00 00 00 00 00
[2016-12-14 09:50:33,485]  16 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据Byte：System.Byte[]
[2016-12-14 09:50:33,747]  14 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据：00 00 00 2F 01 D0 01 26 94 01 00 00
[2016-12-14 09:50:33,747]  14 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据Byte：System.Byte[]
[2016-12-14 09:50:34,034]  13 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据：00 00 00 2F 01 D0 01 26 94 01 00 00
[2016-12-14 09:50:34,034]  13 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据Byte：System.Byte[]
[2016-12-14 09:58:54,019]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Set] -- 设置 命令：0000016401C20130
[2016-12-14 09:58:54,244]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Open] -- Open Success.....
[2016-12-14 09:58:54,338]  18 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据：00 00 00 30 01 D0 01 00 00 01 00 00
[2016-12-14 09:58:54,338]  18 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据Byte：System.Byte[]
[2016-12-14 09:58:54,464]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Send] -- 发送 命令：0000013001C0012694FF0000
[2016-12-14 09:58:54,464]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Send] -- 发送 命令Byte：System.Byte[]
[2016-12-14 09:58:54,595]  21 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据：00 00 00 30 01 D0 01 26 94 01 00 00
[2016-12-14 09:58:54,595]  21 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据Byte：System.Byte[]
[2016-12-14 09:58:54,620]  21 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据：00 00 00 30 01 B0 01 00 00 00 00 00
[2016-12-14 09:58:54,620]  21 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据Byte：System.Byte[]
[2016-12-14 09:58:54,882]  18 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据：00 00 00 30 01 D0 01 26 94 01 00 00
[2016-12-14 09:58:54,882]  18 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据Byte：System.Byte[]
[2016-12-14 09:58:55,170]  21 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据：00 00 00 30 01 D0 01 26 94 01 00 00
[2016-12-14 09:58:55,170]  21 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据Byte：System.Byte[]
[2016-12-14 10:00:29,930]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Set] -- 设置 命令：0000016401C20131
[2016-12-14 10:00:30,151]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Send] -- 发送 命令：0000013101C0012694FF0000
[2016-12-14 10:00:30,151]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Send] -- 发送 命令Byte：System.Byte[]
[2016-12-14 10:00:39,042]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Set] -- 设置 命令：0000016401C20131
[2016-12-14 10:00:39,262]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Send] -- 发送 命令：0000013101C0012694FF0000
[2016-12-14 10:00:39,262]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Send] -- 发送 命令Byte：System.Byte[]
[2016-12-14 10:00:46,879]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Close] -- Close Success....
[2016-12-14 10:02:09,147]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Open] -- Open Success.....
[2016-12-14 10:02:14,850]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Set] -- 设置 命令：0000016401C20131
[2016-12-14 10:02:15,071]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Send] -- 发送 命令：0000013101C0012694FF0000
[2016-12-14 10:02:15,071]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Send] -- 发送 命令Byte：System.Byte[]
[2016-12-14 10:02:15,091]  18 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据：00 00 00 31 01 D0 01 00 00 01 00 00
[2016-12-14 10:02:15,091]  18 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据Byte：System.Byte[]
[2016-12-14 10:02:15,377]  17 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据：00 00 00 31 01 D0 01 26 94 01 00 00
[2016-12-14 10:02:15,377]  17 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据Byte：System.Byte[]
[2016-12-14 10:02:15,402]  11 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据：00 00 00 31 01 B0 01 00 00 00 00 00
[2016-12-14 10:02:15,402]  11 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据Byte：System.Byte[]
[2016-12-14 10:02:15,663]  15 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据：00 00 00 31 01 D0 01 26 94 01 00 00
[2016-12-14 10:02:15,663]  15 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据Byte：System.Byte[]
[2016-12-14 10:02:15,949]  15 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据：00 00 00 31 01 D0 01 26 94 01 00 00
[2016-12-14 10:02:15,949]  15 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据Byte：System.Byte[]
[2016-12-14 10:03:00,353]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Set] -- 设置 命令：0000016401C20132
[2016-12-14 10:03:00,573]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Send] -- 发送 命令：0000013201C0012694FF0000
[2016-12-14 10:03:00,573]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Send] -- 发送 命令Byte：System.Byte[]
[2016-12-14 10:03:00,679]  14 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [Sp_DataReceived] -- 接收数据：00 00 00 32 01 D0 01 26 94 01 00 00
