[2016-12-14 10:38:44,188]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 03 01 C0 01 00 01 FF FF 00
[2016-12-14 10:38:44,436]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 03 01 B0 01 00 00 00 00 00
[2016-12-14 10:38:44,789]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 04 01 C0 01 00 01 FF FF 00
[2016-12-14 10:38:44,938]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 04 01 B0 01 00 00 00 00 00
[2016-12-14 10:38:45,391]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 05 01 C0 01 00 01 FF FF 00
[2016-12-14 10:38:45,532]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 05 01 B0 01 00 00 00 00 00
[2016-12-14 10:38:45,994]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 06 01 C0 01 00 01 FF FF 00
[2016-12-14 10:38:46,197]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 06 01 B0 01 00 00 00 00 00
[2016-12-14 10:38:46,595]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 07 01 C0 01 00 01 FF FF 00
[2016-12-14 10:38:46,725]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 07 01 B0 01 00 00 00 00 00
[2016-12-14 10:38:47,197]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 08 01 C0 01 00 01 FF FF 00
[2016-12-14 10:38:47,289]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 08 01 B0 01 00 00 00 00 00
[2016-12-14 10:38:47,798]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 09 01 C0 01 00 01 FF FF 00
[2016-12-14 10:38:47,950]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 09 01 B0 01 00 00 00 00 00
[2016-12-14 10:38:48,399]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 0A 01 C0 01 00 01 FF FF 00
[2016-12-14 10:38:48,639]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 0A 01 B0 01 00 00 00 00 00
[2016-12-14 10:38:49,001]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 0B 01 C0 01 00 01 FF FF 00
[2016-12-14 10:38:49,256]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 0B 01 B0 01 00 00 00 00 00
[2016-12-14 10:38:49,603]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 0C 01 C0 01 00 01 FF FF 00
[2016-12-14 10:38:49,614]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 0C 01 B0 01 00 00 00 00 00
[2016-12-14 10:38:50,204]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 0D 01 C0 01 00 01 FF FF 00
[2016-12-14 10:38:50,427]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 0D 01 B0 01 00 00 00 00 00
[2016-12-14 10:38:50,805]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 0E 01 C0 01 00 01 FF FF 00
[2016-12-14 10:38:50,878]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 0E 01 B0 01 00 00 00 00 00
[2016-12-14 10:38:51,407]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 0F 01 C0 01 00 01 FF FF 00
[2016-12-14 10:38:51,450]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 0F 01 B0 01 00 00 00 00 00
[2016-12-14 10:38:52,010]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 10 01 C0 01 00 01 FF FF 00
[2016-12-14 10:38:52,093]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 10 01 B0 01 00 00 00 00 00
[2016-12-14 10:38:52,613]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 11 01 C0 01 00 01 FF FF 00
[2016-12-14 10:38:52,696]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 11 01 B0 01 00 00 00 00 00
[2016-12-14 10:38:53,215]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 12 01 C0 01 00 01 FF FF 00
[2016-12-14 10:38:53,439]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 12 01 B0 01 00 00 00 00 00
[2016-12-14 10:38:53,818]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 13 01 C0 01 00 01 FF FF 00
[2016-12-14 10:38:53,960]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 13 01 B0 01 00 00 00 00 00
[2016-12-14 10:38:54,420]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 14 01 C0 01 00 01 FF FF 00
[2016-12-14 10:38:54,616]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<Listen>b__0] -- 【Receive数据】88 00 00 00 14 01 B0 01 00 00 00 00 00
[2016-12-14 10:38:55,022]  1 -- INFO  -- Brilliantech.Framwork.Utils.LogUtil.LogUtil [<sendMsg>b__0] -- 【send数据】88 00 00 01 15 01 C0 01 00 01 FF FF 00
